backend,control_type,style_id_checked_against,image_path,raw_extraction_json,mean_score
florence2,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0800691008.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, textured fabric with a ribbed texture. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, textured fabric with a ribbed texture. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, textured fabric with a ribbed texture. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black.""}",0.5666666666666667
florence2,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0800691008.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, textured fabric with a ribbed texture. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, textured fabric with a ribbed texture. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, textured fabric with a ribbed texture. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black.""}",0.2833333333333333
florence2,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0778064001.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black.""}",0.5666666666666667
florence2,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0778064001.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black.""}",0.0
florence2,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0827968004.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black.""}",0.5666666666666667
florence2,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0827968004.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. It appears to be made of a soft, lightweight fabric and has a relaxed fit. The shirt is laid flat on a plain white background. There is a small white label on the front of the shirt with the brand name \""J.Crew\"" written in black.""}",0.0
florence2,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0865076001.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, comfortable fabric and has a relaxed fit. It has a small white label on the front with the brand name \""J.Crew\"" written in black. The background is plain white, making the black color of the shirt stand out."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, comfortable fabric and has a relaxed fit. It has a small white label on the front with the brand name \""J.Crew\"" written in black. The background is plain white, making the black color of the shirt stand out."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, comfortable fabric and has a relaxed fit. It has a small white label on the front with the brand name \""J.Crew\"" written in black. The background is plain white, making the black color of the shirt stand out.""}",0.5666666666666667
florence2,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0865076001.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, comfortable fabric and has a relaxed fit. It has a small white label on the front with the brand name \""J.Crew\"" written in black. The background is plain white, making the black color of the shirt stand out."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, comfortable fabric and has a relaxed fit. It has a small white label on the front with the brand name \""J.Crew\"" written in black. The background is plain white, making the black color of the shirt stand out."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, comfortable fabric and has a relaxed fit. It has a small white label on the front with the brand name \""J.Crew\"" written in black. The background is plain white, making the black color of the shirt stand out.""}",0.0
florence2,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0767862001.jpg,"{""product_type"": ""The image shows two t-shirts, one in black and one in white, lying side by side on a plain white background. The black t-shirt has a V-neckline and short sleeves, while the white t shirt is plain and has a round neckline. Both shirts have a small white label on the front. The shirts appear to be made of a soft and comfortable fabric."", ""colour_family"": ""The image shows two t-shirts, one in black and one in white, lying side by side on a plain white background. The black t-shirt has a V-neckline and short sleeves, while the white t shirt is plain and has a round neckline. Both shirts have a small white label on the front. The shirts appear to be made of a soft and comfortable fabric."", ""graphical_treatment"": ""The image shows two t-shirts, one in black and one in white, lying side by side on a plain white background. The black t-shirt has a V-neckline and short sleeves, while the white t shirt is plain and has a round neckline. Both shirts have a small white label on the front. The shirts appear to be made of a soft and comfortable fabric.""}",0.5666666666666667
florence2,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0767862001.jpg,"{""product_type"": ""The image shows two t-shirts, one in black and one in white, lying side by side on a plain white background. The black t-shirt has a V-neckline and short sleeves, while the white t shirt is plain and has a round neckline. Both shirts have a small white label on the front. The shirts appear to be made of a soft and comfortable fabric."", ""colour_family"": ""The image shows two t-shirts, one in black and one in white, lying side by side on a plain white background. The black t-shirt has a V-neckline and short sleeves, while the white t shirt is plain and has a round neckline. Both shirts have a small white label on the front. The shirts appear to be made of a soft and comfortable fabric."", ""graphical_treatment"": ""The image shows two t-shirts, one in black and one in white, lying side by side on a plain white background. The black t-shirt has a V-neckline and short sleeves, while the white t shirt is plain and has a round neckline. Both shirts have a small white label on the front. The shirts appear to be made of a soft and comfortable fabric.""}",0.0
florence2,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0843685001.jpg,"{""product_type"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, lightweight fabric and has a relaxed fit. The front of the shirt has a V-neckline with a small V-shaped cutout in the center. The sleeves are slightly rolled up at the shoulders, giving the shirt a casual, relaxed look. The background is plain white, making the black shirt stand out."", ""colour_family"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, lightweight fabric and has a relaxed fit. The front of the shirt has a V-neckline with a small V-shaped cutout in the center. The sleeves are slightly rolled up at the shoulders, giving the shirt a casual, relaxed look. The background is plain white, making the black shirt stand out."", ""graphical_treatment"": ""The image is of a black t-shirt with a round neckline and short sleeves. The shirt appears to be made of a soft, lightweight fabric and has a relaxed fit. The front of the shirt has a V-neckline with a small V-shaped cutout in the center. The sleeves are slightly rolled up at the shoulders, giving the shirt a casual, relaxed look. The background is plain white, making the black shirt stand out.""}",0.5666666666666667
