judge_name,control_type,style_id_checked_against,image_path,available,raw_extraction_json,scores_json,mean_score,excluded_reason
gemini,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0554598001.jpg,true,"{""product_type"": ""t-shirt"", ""colour_family"": ""black"", ""graphical_treatment"": ""solid"", ""garment_group"": ""jersey basic""}","{""product_type"": 1.0, ""colour_family"": 1.0, ""graphical_treatment"": 1.0, ""garment_group"": 1.0}",1.0,
groq,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0554598001.jpg,false,,,,"GROQ_API_KEY set, but the requested vision judge model is unreachable for this account: Groq vision judge model 'meta-llama/llama-4-scout-17b-16e-instruct' is unreachable for this GROQ_API_KEY (model not found / decommissioned): Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-scout-17b-16e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"
gemini,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0803986005.jpg,true,"{""product_type"": ""briefs"", ""colour_family"": ""Red"", ""graphical_treatment"": ""solid"", ""garment_group"": ""Underwear""}","{""product_type"": 0.0, ""colour_family"": 1.0, ""graphical_treatment"": 1.0, ""garment_group"": 0.0}",0.5,
groq,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0803986005.jpg,false,,,,"GROQ_API_KEY set, but the requested vision judge model is unreachable for this account: Groq vision judge model 'meta-llama/llama-4-scout-17b-16e-instruct' is unreachable for this GROQ_API_KEY (model not found / decommissioned): Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-scout-17b-16e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"
gemini,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0863646003.jpg,true,"{""product_type"": ""sweater"", ""colour_family"": ""beige"", ""graphical_treatment"": ""melange"", ""garment_group"": ""knitwear""}","{""product_type"": 1.0, ""colour_family"": 1.0, ""graphical_treatment"": 1.0, ""garment_group"": 1.0}",1.0,
groq,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0863646003.jpg,false,,,,"GROQ_API_KEY set, but the requested vision judge model is unreachable for this account: Groq vision judge model 'meta-llama/llama-4-scout-17b-16e-instruct' is unreachable for this GROQ_API_KEY (model not found / decommissioned): Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-scout-17b-16e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"
gemini,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0798620003.jpg,true,"{""product_type"": ""scarf"", ""colour_family"": ""grey"", ""graphical_treatment"": ""solid color"", ""garment_group"": ""accessories""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}",0.2125,
groq,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0798620003.jpg,false,,,,"GROQ_API_KEY set, but the requested vision judge model is unreachable for this account: Groq vision judge model 'meta-llama/llama-4-scout-17b-16e-instruct' is unreachable for this GROQ_API_KEY (model not found / decommissioned): Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-scout-17b-16e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"
gemini,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0760878001.jpg,true,"{""product_type"": ""scarf"", ""colour_family"": ""grey"", ""graphical_treatment"": ""solid"", ""garment_group"": ""accessories""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 1.0, ""garment_group"": 0.0}",0.25,
groq,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0760878001.jpg,false,,,,"GROQ_API_KEY set, but the requested vision judge model is unreachable for this account: Groq vision judge model 'meta-llama/llama-4-scout-17b-16e-instruct' is unreachable for this GROQ_API_KEY (model not found / decommissioned): Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-scout-17b-16e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"
gemini,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0783732002.jpg,true,"{""product_type"": ""scarf"", ""colour_family"": ""grey"", ""graphical_treatment"": ""solid"", ""garment_group"": ""accessories""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 0.0, ""garment_group"": 0.0}",0.0,
groq,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0783732002.jpg,false,,,,"GROQ_API_KEY set, but the requested vision judge model is unreachable for this account: Groq vision judge model 'meta-llama/llama-4-scout-17b-16e-instruct' is unreachable for this GROQ_API_KEY (model not found / decommissioned): Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-scout-17b-16e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"
