judge_name,control_type,style_id_checked_against,image_path,available,raw_extraction_json,scores_json,mean_score,excluded_reason,mean_score_legacy_4attr
gemini,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0554598001.jpg,true,"{""product_type"": ""t-shirt"", ""colour_family"": ""black"", ""graphical_treatment"": ""solid"", ""garment_group"": ""jersey basic""}","{""product_type"": 1.0, ""colour_family"": 1.0, ""graphical_treatment"": 1.0, ""garment_group"": 1.0}",1.0,,1.0
groq,positive,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0554598001.jpg,true,"{""product_type"": ""Loose-fitting short-sleeve t-shirt top"", ""colour_family"": ""Black"", ""graphical_treatment"": ""Solid, plain knit fabric with no prints or graphics"", ""garment_group"": ""Tops""}","{""product_type"": 0.85, ""colour_family"": 1.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}",0.9,,0.675
gemini,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0803986005.jpg,true,"{""product_type"": ""briefs"", ""colour_family"": ""Red"", ""graphical_treatment"": ""solid"", ""garment_group"": ""Underwear""}","{""product_type"": 0.0, ""colour_family"": 1.0, ""graphical_treatment"": 1.0, ""garment_group"": 0.0}",0.6666666666666666,,0.5
groq,positive,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0803986005.jpg,true,"{""product_type"": ""Lace thong underwear (briefs), shown in flat lay with close-up detail of the lace leg/waist panel"", ""colour_family"": ""Solid vibrant red / scarlet monochrome"", ""graphical_treatment"": ""Intricate floral lace (crochet/eyelet) overlay with scalloped edges over a sheer mesh base; plain solid red ribbed front-rise/leg binding"", ""garment_group"": ""Lingerie / intimates (women's underwear)""}","{""product_type"": 0.058823529411764705, ""colour_family"": 0.85, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}",0.5862745098039216,,0.43970588235294117
gemini,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0863646003.jpg,true,"{""product_type"": ""sweater"", ""colour_family"": ""beige"", ""graphical_treatment"": ""melange"", ""garment_group"": ""knitwear""}","{""product_type"": 1.0, ""colour_family"": 1.0, ""graphical_treatment"": 1.0, ""garment_group"": 1.0}",1.0,,1.0
groq,positive,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0863646003.jpg,true,"{""product_type"": ""Long-sleeve knit sweater"", ""colour_family"": ""Neutral beige / camel (warm tan)"", ""graphical_treatment"": ""Solid marled knit with subtle light flecking; no printed or embroidered graphics"", ""garment_group"": ""Knitwear / tops""}","{""product_type"": 0.85, ""colour_family"": 0.85, ""graphical_treatment"": 0.0, ""garment_group"": 0.85}",0.5666666666666667,,0.6375
gemini,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0798620003.jpg,true,"{""product_type"": ""scarf"", ""colour_family"": ""grey"", ""graphical_treatment"": ""solid color"", ""garment_group"": ""accessories""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}",0.2833333333333333,,0.2125
groq,negative,Ladieswear || T-shirt || Jersey Basic || Black || Solid,data\images\0798620003.jpg,true,"{""product_type"": ""fringed wool scarf"", ""colour_family"": ""heathered medium grey"", ""graphical_treatment"": ""solid self-colored knit with no prints, plain surface, and knot-cut fringe detail along one edge"", ""garment_group"": ""outerwear / accessories (neckwear)""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}",0.2833333333333333,,0.2125
gemini,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0760878001.jpg,true,"{""product_type"": ""scarf"", ""colour_family"": ""grey"", ""graphical_treatment"": ""solid"", ""garment_group"": ""accessories""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 1.0, ""garment_group"": 0.0}",0.3333333333333333,,0.25
groq,negative,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",data\images\0760878001.jpg,true,"{""product_type"": ""Scar\u0641"", ""colour_family"": ""Solid dark grey / charcoal"", ""graphical_treatment"": ""Plain, unpatterned solid color with a heathered woolen texture and fringed ends"", ""garment_group"": ""Accessories""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}",0.2833333333333333,,0.2125
gemini,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0783732002.jpg,true,"{""product_type"": ""scarf"", ""colour_family"": ""grey"", ""graphical_treatment"": ""solid"", ""garment_group"": ""accessories""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 0.0, ""garment_group"": 0.0}",0.0,,0.0
groq,negative,Ladieswear || Sweater || Knitwear || Beige || Melange,data\images\0783732002.jpg,true,"{""product_type"": ""knitted scarf"", ""colour_family"": ""dark heather grey"", ""graphical_treatment"": ""plain solid knit with vertical rib texture"", ""garment_group"": ""neckwear""}","{""product_type"": 0.0, ""colour_family"": 0.0, ""graphical_treatment"": 0.0, ""garment_group"": 0.0}",0.0,,0.0
