article_id,product_type_name,colour_group_name,perceived_colour_value_name,perceived_colour_master_name,detail_desc
831177001,Skirt,Black,Dark,Black,"High-waisted skirt in washed, stretch denim with a zip fly and button and front and back pockets. The skirt is made partly from recycled cotton."
642473001,Trousers,Black,Dark,Black,"High-waisted jersey trousers with contrasting colour side stripes, an elasticated waist and wide, ankle-length legs with sewn-in creases ."
920869001,Top,Black,Dark,Black,"Fitted top in stretch, textured jersey made from a cotton blend. Double-layered polo neck, a concealed zip at the back and extra-long sleeves with a slit at the cuffs. Lined."
784271001,Blazer,Black,Dark,Black,"Single-breasted tuxedo jacket in a wool weave with satin details. Covered linked button at the front, a chest pocket, jetted front pockets and three inner pockets, one with a button. Decorative button at the cuffs and a single back vent. Lined. Skinny Fit – a slightly shorter style that shapes in at the chest and tapers sharply at the waist. This, combined with narrow shoulders and sleeves, creates a completely fitted silhouette."
822158001,Dress,Black,Dark,Black,"Calf-length dress in an airy Tencel™ lyocell weave with a wrapover top and sewn-on band at the waist that ties at the back. Decorative gathers on the shoulder seams and at the back of the neckline. Short, wide sleeves, and two slits at the front. Unlined."
739211002,Shirt,Black,Dark,Black,"Short-sleeved shirt in a patterned viscose and cotton weave with a turn-down collar, French front and rounded hem. Slim Fit – a fit with narrow shoulders and a tapered waist for a fitted silhouette."
557994003,Bra,Black,Dark,Black,"Soft, non-wired bras in microfibre with padded cups that shape the bust and provide good support. Adjustable shoulder straps and a hook-and-eye fastening at the back."
745432003,Sneakers,Black,Dark,Black,Slip-on trainers in grained imitation leather. Cotton canvas linings and insoles and rubber soles.
595697017,Shorts,Black,Dark,Black,"Shorts in a patterned weave with a high, elasticated waist."
889849001,Skirt,Black,Dark,Black,Knee-length skirt in a patterned stretch weave with a slight sheen. High waist and a sewn-in wrapover with ties at one side and a concealed zip at the other. Unlined.
727061002,Sweater,Black,Dark,Black,"Long-sleeved top in sweatshirt fabric with appliqués on the front and ribbing around the neckline, cuffs and hem. Soft brushed inside."
851318001,Leggings/Tights,Black,Dark,Black,"Running tights in fast-drying, breathable functional fabric with covered elastication and a concealed drawstring at the waist. Wrapover key pocket at the top, ventilating mesh sections at the back of the knees, and reflective details."
775712001,Sneakers,Black,Dark,Black,"Trainers in cotton canvas with imitation leather details, a padded top edge, lacing at the front and a loop at the back. Canvas linings and insoles."
518827004,Blazer,Black,Dark,Black,"Long, fine-knit jacket with notch lapels and front pockets. Unlined."
674052015,Skirt,Black,Dark,Black,Short imitation suede skirt with a high paper bag waist.
721136008,Top,Black,Dark,Black,"Sleeveless top in stretch jersey with a round neckline, concealed buttons down the front, yoke with a pleat at the back and a straight-cut hem."
598698001,Skirt,Black,Dark,Black,Calf-length skirt in soft jersey with a sewn-in wrapover at the front and elasticated waist.
500448009,Sweater,Black,Dark,Black,Top in printed sweatshirt fabric with ribbing at the cuffs and hem. Soft brushed inside.
735307001,Heeled sandals,Black,Dark,Black,Sandals in grained imitation leather with narrow straps and elastic at the back and sides. Imitation leather linings and insoles and rubber soles. Covered heels 6 cm.
695341006,Other shoe,Black,Dark,Black,"Loafers with a decorative tab and moccasin seam at the front. Cotton canvas linings and insoles, and patterned soles. Height of soles 1 cm."
573552001,Trousers,Black,Dark,Black,"Long jumpsuit in a patterned crêpe weave with an opening with a button at the back of the neck, short, wide sleeves, a seam at the waist with a detachable tie belt, side pockets and tapered legs."
856992001,Belt,Black,Dark,Black,Wide elastic waist belt with a large metal buckle and hook-and-eye fastening. Width 5.5 cm.
763148002,Jacket,Black,Dark,Black,"Jacket in faux fur with a zip down the front, jersey-lined hood with sewn-on ears at the top, patch front pockets and an elasticated hem. Jersey lining."
714084003,Bag,Black,Dark,Black,Heart-shaped bag in imitation patent leather and imitation suede with a zip and shoulder strap at the top. Lined. Size 4x17 cm.
832017001,Coat,Dark Grey,Dark,Black,"Coat in a felted wool blend with narrow notch lapels and a decorative buttonhole. Fastening with three buttons at the front, an open chest pocket, flap front pockets and two inner pockets. Decorative buttons at the cuffs and a single back vent. Lined. The wool and polyester content of the coat are recycled."
566387002,Top,Black,Dark,Black,"Wide jersey top in a soft cotton and modal blend with long, wide sleeves and embroidery at the cuffs."
681913001,Trousers,Black,Dark,Black,"Trousers in a viscose weave with a regular, elasticated waist, side pockets and tapered legs."
898692006,Blazer,Black,Dark,Black,"Shirt jacket in a soft weave containing some wool with a collar, buttons down the front and flap chest pockets. Low dropped shoulders, long sleeves with buttoned cuffs, and a rounded hem. Unlined. The polyester and wool content of the shirt jacket is recycled."
713824009,Underwear bottom,Black,Dark,Black,"Boxer shorts in organic cotton jersey with short legs, an elasticated waist and lined front."
861469001,Top,Black,Dark,Black,"Fitted top in stretch, ribbed viscose jersey with a deep neckline, decorative button band with sparkly stone buttons down the front and long sleeves."
