case,stratum,attempt,run,parsed,ref_verdict,ref_outcome,ref_next_agent,ref_adjust,llm_verdict,llm_outcome,llm_next_agent,llm_adjust,verdict_ok,outcome_ok,hop_ok,adjust_ok,reason
wrong_00,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed, while Gates 1 and 1b passed (the clone control was valid). The concept drifted too far from the reference style and its briefed changes and attributes are not visible, so this is a systematic miss rather than a one-off seed artifact. This is attempt 1 with 0 of 2 retries used, so the critic sends an adjusted ip_adapter_scale back to concept-designer via the orchestrator, and the human check is not reached."
wrong_00,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitively failed (pass: false), while Gates 1 and 1b passed, so the concept is novel but not faithful to the style or the briefed changes. This looks systematic rather than a one-off seed artifact, so the critic sends back an adjusted ip_adapter_scale (raised, to pull the image closer to the reference) with 2 retries remaining. The human check is not reached."
wrong_00,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 (attribute fidelity) and Gate 3 (briefed changes visible) all definitively failed, while Gates 1 and 1b passed with a valid clone control. This is attempt 1 with retries remaining, so the critic sends back an adjusted ip_adapter_scale rather than a new seed, because several gates missed together and no sibling seeds show a one-off artifact. The orchestrator relays it to concept-designer."
wrong_01,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitively failed, so this is a REJECT. Gates 1 and 1b passed with a valid clone control, and the failures point to drift from the style's attributes and briefed changes rather than a one-off seed artifact. This is attempt 1 with retries remaining (0 of 2 used), so the critic sends an adjusted ip_adapter_scale back to concept-designer via the orchestrator."
wrong_01,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all failed (Gates 1 and 1b passed with a valid clone control), so this is a definite REJECT on attempt 0 with retries remaining. The concept is too far from the real references and misses the style attributes and briefed changes. That is a systematic miss rather than a one-off sampling artifact, so the critic sends back an adjusted ip_adapter_scale instead of a new seed."
wrong_01,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Every gate was measured and three definitely failed: the global integrity floor, Gate 2 attribute fidelity and Gate 3 briefed changes. Gate 1 and Gate 1b passed, with the clone control validated. This is attempt 1 with 0 of 2 retries used, so the critic sends a changed ip_adapter_scale back to concept-designer via the orchestrator. The Gate 2 and Gate 3 misses are not a one-seed sampling artifact, so a seed change alone would not address them."
wrong_02,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitively failed, while Gates 1 and 1b passed and the clone control is valid, so nothing is unmeasured. With 0 retries used, the critic sends the concept back. Three failures together (too far from the references, attributes and briefed changes not visible) look systematic rather than a one-off sampling artifact, so the adjustment is ip_adapter_scale, not seed."
wrong_02,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitively failed, so this is a REJECT with retries remaining (count 0 of 2). Gates 1 and 1b passed, so the concept is novel but drifts too far from the reference, losing its attributes and the briefed changes. That points to a systematic miss rather than a one-off seed artifact, so the critic adjusts ip_adapter_scale and the orchestrator relays it to concept-designer."
wrong_02,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 definitely failed, so this is a REJECT. Gates 1 and 1b pass, so the concept is not too close to the references. The integrity, attribute and briefed-change misses together suggest the image drifted from the style rather than hit a one-off seed artifact. This is attempt 0 of a 2-retry cap, so the critic sends back an adjusted ip_adapter_scale."
wrong_03,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 and Gate 3 all definitively failed, so this is a REJECT with 2 retries left (attempt 1 of 3). Gates 2 and 3 also failed, so this is not an isolated integrity miss on one seed, and there is no sibling-seed evidence pointing to a sampling artifact. The critic therefore sends back an adjusted ip_adapter_scale, and the orchestrator relays it to concept-designer."
wrong_03,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 and Gate 3 all failed, while Gates 1 and 1b passed (the 1b clone control is valid). The image is too far from the real references and misses the style attributes and briefed changes, which points to a systematic problem rather than a one-off sampling artifact. It is attempt 0 of a 2-retry budget, so the critic sends back an adjusted ip_adapter_scale via the orchestrator to concept-designer."
wrong_03,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Gates 1 and 1b pass, but the integrity floor, Gate 2 and Gate 3 all definitely fail, so this is a REJECT with 0 of 2 retries used. The concept is novel enough but too far from the reference and missing the briefed attributes. That is a systematic miss rather than a one-off sampling artifact, so the critic sends back an adjusted ip_adapter_scale (raised, to pull it closer to the reference) via the orchestrator."
